player_id,opponent_id,match_id,date,tournament_name,tournament_id,result,match_progress,num_players_round,points_scored,points_allowed,fastest_ball_speed,aces
56,21,6,2010-02-02,Sovereign Cup,0,W,"['1:0', '2:0', '3:0', '3:1', '3:2', '4:2', '4:3', '5:3', '6:3', '7:3', '7:4', '8:4', '8:5', '9:5', '9:6', '9:7', '9:8', '10:8', '10:9', '11:9']",32,11,9,137.7,7
21,56,6,2010-02-02,Sovereign Cup,0,L,"['1:0', '2:0', '3:0', '3:1', '3:2', '4:2', '4:3', '5:3', '6:3', '7:3', '7:4', '8:4', '8:5', '9:5', '9:6', '9:7', '9:8', '10:8', '10:9', '11:9']",32,9,11,151.5,2
40,7,7,2010-02-02,Sovereign Cup,0,W,"['1:0', '2:0', '2:1', '3:1', '4:1', '4:2', '5:2', '5:3', '5:4', '5:5', '6:5', '7:5', '8:5', '8:6', '8:7', '9:7', '9:8', '10:8', '11:8']",32,11,8,150.7,2
7,40,7,2010-02-02,Sovereign Cup,0,L,"['1:0', '2:0', '2:1', '3:1', '4:1', '4:2', '5:2', '5:3', '5:4', '5:5', '6:5', '7:5', '8:5', '8:6', '8:7', '9:7', '9:8', '10:8', '11:8']",32,8,11,142.7,0
13,26,8,2010-02-03,Sovereign Cup,0,W,"['0:1', '1:1', '1:2', '2:2', '3:2', '4:2', '5:2', '6:2', '6:3', '7:3', '7:4', '7:5', '7:6', '8:6', '8:7', '8:8', '8:9', '9:9', '9:10', '10:10', '11:10']",32,11,10,147.5,0
26,13,8,2010-02-03,Sovereign Cup,0,L,"['0:1', '1:1', '1:2', '2:2', '3:2', '4:2', '5:2', '6:2', '6:3', '7:3', '7:4', '7:5', '7:6', '8:6', '8:7', '8:8', '8:9', '9:9', '9:10', '10:10', '11:10']",32,10,11,147.4,2
10,49,9,2010-02-03,Sovereign Cup,0,W,"['0:1', '0:2', '1:2', '1:3', '2:3', '3:3', '4:3', '5:3', '6:3', '7:3', '7:4', '8:4', '9:4', '10:4', '10:5', '10:6', '10:7', '10:8', '11:8', '11:9', '11:10']",32,11,10,142.6,2
49,10,9,2010-02-03,Sovereign Cup,0,L,"['0:1', '0:2', '1:2', '1:3', '2:3', '3:3', '4:3', '5:3', '6:3', '7:3', '7:4', '8:4', '9:4', '10:4', '10:5', '10:6', '10:7', '10:8', '11:8', '11:9', '11:10']",32,10,11,143.0,2
42,37,10,2010-02-03,Sovereign Cup,0,W,"['0:1', '0:2', '1:2', '2:2', '3:2', '4:2', '5:2', '5:3', '6:3', '6:4', '7:4', '7:5', '8:5', '9:5', '9:6', '10:6', '11:6', '11:7', '11:8']",32,11,8,135.3,2
37,42,10,2010-02-03,Sovereign Cup,0,L,"['0:1', '0:2', '1:2', '2:2', '3:2', '4:2', '5:2', '5:3', '6:3', '6:4', '7:4', '7:5', '8:5', '9:5', '9:6', '10:6', '11:6', '11:7', '11:8']",32,8,11,148.0,2
58,51,11,2010-02-03,Sovereign Cup,0,W,"['0:1', '1:1', '2:1', '3:1', '3:2', '4:2', '4:3', '5:3', '5:4', '6:4', '7:4', '8:4', '8:5', '8:6', '9:6', '10:6', '10:7', '10:8', '11:8']",32,11,8,147.2,3
51,58,11,2010-02-03,Sovereign Cup,0,L,"['0:1', '1:1', '2:1', '3:1', '3:2', '4:2', '4:3', '5:3', '5:4', '6:4', '7:4', '8:4', '8:5', '8:6', '9:6', '10:6', '10:7', '10:8', '11:8']",32,8,11,138.0,1
20,1,12,2010-02-03,Sovereign Cup,0,W,"['0:1', '1:1', '2:1', '3:1', '3:2', '4:2', '5:2', '6:2', '6:3', '6:4', '6:5', '6:6', '7:6', '8:6', '9:6', '9:7', '10:7', '11:7']",32,11,7,155.3,3
1,20,12,2010-02-03,Sovereign Cup,0,L,"['0:1', '1:1', '2:1', '3:1', '3:2', '4:2', '5:2', '6:2', '6:3', '6:4', '6:5', '6:6', '7:6', '8:6', '9:6', '9:7', '10:7', '11:7']",32,7,11,141.7,0
23,14,13,2010-02-03,Sovereign Cup,0,W,"['0:1', '0:2', '0:3', '0:4', '1:4', '2:4', '2:5', '3:5', '3:6', '4:6', '5:6', '5:7', '5:8', '6:8', '7:8', '8:8', '9:8', '10:8', '10:9', '11:9']",32,11,9,133.1,3
14,23,13,2010-02-03,Sovereign Cup,0,L,"['0:1', '0:2', '0:3', '0:4', '1:4', '2:4', '2:5', '3:5', '3:6', '4:6', '5:6', '5:7', '5:8', '6:8', '7:8', '8:8', '9:8', '10:8', '10:9', '11:9']",32,9,11,144.3,3
12,52,14,2010-02-03,Sovereign Cup,0,W,"['1:0', '1:1', '1:2', '1:3', '2:3', '3:3', '4:3', '5:3', '5:4', '6:4', '6:5', '7:5', '8:5', '8:6', '9:6', '10:6', '11:6']",32,11,6,149.7,1
52,12,14,2010-02-03,Sovereign Cup,0,L,"['1:0', '1:1', '1:2', '1:3', '2:3', '3:3', '4:3', '5:3', '5:4', '6:4', '6:5', '7:5', '8:5', '8:6', '9:6', '10:6', '11:6']",32,6,11,140.0,1
11,55,15,2010-02-03,Sovereign Cup,0,W,"['0:1', '0:2', '0:3', '0:4', '0:5', '1:5', '1:6', '2:6', '3:6', '4:6', '4:7', '5:7', '6:7', '7:7', '8:7', '9:7', '10:7', '11:7']",32,11,7,143.4,0
55,11,15,2010-02-03,Sovereign Cup,0,L,"['0:1', '0:2', '0:3', '0:4', '0:5', '1:5', '1:6', '2:6', '3:6', '4:6', '4:7', '5:7', '6:7', '7:7', '8:7', '9:7', '10:7', '11:7']",32,7,11,139.6,4
43,46,16,2010-02-04,Sovereign Cup,0,W,"['0:1', '0:2', '1:2', '2:2', '3:2', '4:2', '5:2', '5:3', '5:4', '6:4', '7:4', '7:5', '7:6', '7:7', '7:8', '8:8', '9:8', '10:8', '11:8']",32,11,8,145.0,2
46,43,16,2010-02-04,Sovereign Cup,0,L,"['0:1', '0:2', '1:2', '2:2', '3:2', '4:2', '5:2', '5:3', '5:4', '6:4', '7:4', '7:5', '7:6', '7:7', '7:8', '8:8', '9:8', '10:8', '11:8']",32,8,11,145.2,1
53,24,17,2010-02-05,Sovereign Cup,0,W,"['1:0', '1:1', '2:1', '3:1', '4:1', '5:1', '5:2', '6:2', '7:2', '7:3', '7:4', '7:5', '7:6', '8:6', '9:6', '9:7', '9:8', '10:8', '10:9', '11:9']",16,11,9,136.8,3
24,53,17,2010-02-05,Sovereign Cup,0,L,"['1:0', '1:1', '2:1', '3:1', '4:1', '5:1', '5:2', '6:2', '7:2', '7:3', '7:4', '7:5', '7:6', '8:6', '9:6', '9:7', '9:8', '10:8', '10:9', '11:9']",16,9,11,142.5,1
64,27,18,2010-02-05,Sovereign Cup,0,W,"['0:1', '0:2', '1:2', '2:2', '3:2', '3:3', '3:4', '4:4', '4:5', '4:6', '5:6', '6:6', '6:7', '7:7', '8:7', '8:8', '8:9', '9:9', '10:9', '11:9', '11:10']",16,11,10,144.9,1
27,64,18,2010-02-05,Sovereign Cup,0,L,"['0:1', '0:2', '1:2', '2:2', '3:2', '3:3', '3:4', '4:4', '4:5', '4:6', '5:6', '6:6', '6:7', '7:7', '8:7', '8:8', '8:9', '9:9', '10:9', '11:9', '11:10']",16,10,11,144.8,0
56,47,19,2010-02-05,Sovereign Cup,0,W,"['0:1', '1:1', '1:2', '2:2', '2:3', '2:4', '3:4', '3:5', '4:5', '4:6', '5:6', '5:7', '6:7', '7:7', '8:7', '8:8', '9:8', '10:8', '11:8']",16,11,8,147.9,3
47,56,19,2010-02-05,Sovereign Cup,0,L,"['0:1', '1:1', '1:2', '2:2', '2:3', '2:4', '3:4', '3:5', '4:5', '4:6', '5:6', '5:7', '6:7', '7:7', '8:7', '8:8', '9:8', '10:8', '11:8']",16,8,11,141.8,0
40,13,20,2010-02-06,Sovereign Cup,0,W,"['1:0', '2:0', '2:1', '3:1', '4:1', '4:2', '4:3', '5:3', '5:4', '6:4', '6:5', '7:5', '8:5', '8:6', '9:6', '10:6', '11:6']",16,11,6,144.0,2
13,40,20,2010-02-06,Sovereign Cup,0,L,"['1:0', '2:0', '2:1', '3:1', '4:1', '4:2', '4:3', '5:3', '5:4', '6:4', '6:5', '7:5', '8:5', '8:6', '9:6', '10:6', '11:6']",16,6,11,150.6,2
42,10,21,2010-02-06,Sovereign Cup,0,W,"['0:1', '1:1', '2:1', '2:2', '3:2', '4:2', '5:2', '6:2', '6:3', '6:4', '6:5', '7:5', '8:5', '8:6', '8:7', '8:8', '9:8', '9:9', '10:9', '10:10', '11:10']",16,11,10,148.4,2
10,42,21,2010-02-06,Sovereign Cup,0,L,"['0:1', '1:1', '2:1', '2:2', '3:2', '4:2', '5:2', '6:2', '6:3', '6:4', '6:5', '7:5', '8:5', '8:6', '8:7', '8:8', '9:8', '9:9', '10:9', '10:10', '11:10']",16,10,11,141.2,1
58,20,22,2010-02-06,Sovereign Cup,0,W,"['0:1', '0:2', '1:2', '1:3', '1:4', '2:4', '3:4', '4:4', '4:5', '5:5', '6:5', '6:6', '6:7', '7:7', '8:7', '9:7', '10:7', '11:7', '11:8']",16,11,8,141.4,2
20,58,22,2010-02-06,Sovereign Cup,0,L,"['0:1', '0:2', '1:2', '1:3', '1:4', '2:4', '3:4', '4:4', '4:5', '5:5', '6:5', '6:6', '6:7', '7:7', '8:7', '9:7', '10:7', '11:7', '11:8']",16,8,11,139.5,1
23,12,23,2010-02-06,Sovereign Cup,0,W,"['0:1', '1:1', '2:1', '3:1', '4:1', '5:1', '5:2', '6:2', '7:2', '8:2', '8:3', '8:4', '9:4', '10:4', '11:4', '11:5', '11:6', '11:7']",16,11,7,141.9,2
12,23,23,2010-02-06,Sovereign Cup,0,L,"['0:1', '1:1', '2:1', '3:1', '4:1', '5:1', '5:2', '6:2', '7:2', '8:2', '8:3', '8:4', '9:4', '10:4', '11:4', '11:5', '11:6', '11:7']",16,7,11,148.3,2
11,43,24,2010-02-07,Sovereign Cup,0,W,"['0:1', '1:1', '1:2', '2:2', '3:2', '4:2', '5:2', '6:2', '6:3', '7:3', '7:4', '7:5', '8:5', '9:5', '10:5', '10:6', '10:7', '10:8', '11:8', '11:9']",16,11,9,144.1,2
43,11,24,2010-02-07,Sovereign Cup,0,L,"['0:1', '1:1', '1:2', '2:2', '3:2', '4:2', '5:2', '6:2', '6:3', '7:3', '7:4', '7:5', '8:5', '9:5', '10:5', '10:6', '10:7', '10:8', '11:8', '11:9']",16,9,11,140.9,3
64,53,25,2010-02-08,Sovereign Cup,0,W,"['1:0', '1:1', '1:2', '2:2', '2:3', '3:3', '3:4', '3:5', '4:5', '5:5', '5:6', '5:7', '5:8', '5:9', '6:9', '7:9', '7:10', '8:10', '9:10', '10:10', '11:10']",8,11,10,136.1,0
53,64,25,2010-02-08,Sovereign Cup,0,L,"['1:0', '1:1', '1:2', '2:2', '2:3', '3:3', '3:4', '3:5', '4:5', '5:5', '5:6', '5:7', '5:8', '5:9', '6:9', '7:9', '7:10', '8:10', '9:10', '10:10', '11:10']",8,10,11,141.8,1
40,56,26,2010-02-09,Sovereign Cup,0,W,"['1:0', '2:0', '2:1', '3:1', '3:2', '4:2', '5:2', '6:2', '6:3', '7:3', '7:4', '8:4', '8:5', '9:5', '9:6', '10:6', '10:7', '11:7', '11:8', '11:9']",8,11,9,151.5,1
56,40,26,2010-02-09,Sovereign Cup,0,L,"['1:0', '2:0', '2:1', '3:1', '3:2', '4:2', '5:2', '6:2', '6:3', '7:3', '7:4', '8:4', '8:5', '9:5', '9:6', '10:6', '10:7', '11:7', '11:8', '11:9']",8,9,11,149.1,5
58,42,27,2010-02-09,Sovereign Cup,0,W,"['0:1', '1:1', '2:1', '2:2', '2:3', '2:4', '3:4', '4:4', '5:4', '6:4', '6:5', '7:5', '8:5', '8:6', '9:6', '10:6', '10:7', '10:8', '11:8']",8,11,8,137.8,3
42,58,27,2010-02-09,Sovereign Cup,0,L,"['0:1', '1:1', '2:1', '2:2', '2:3', '2:4', '3:4', '4:4', '5:4', '6:4', '6:5', '7:5', '8:5', '8:6', '9:6', '10:6', '10:7', '10:8', '11:8']",8,8,11,140.1,1
23,11,28,2010-02-10,Sovereign Cup,0,W,"['1:0', '1:1', '2:1', '2:2', '3:2', '4:2', '4:3', '4:4', '4:5', '4:6', '5:6', '5:7', '6:7', '7:7', '8:7', '9:7', '9:8', '9:9', '10:9', '11:9', '11:10']",8,11,10,142.9,0
11,23,28,2010-02-10,Sovereign Cup,0,L,"['1:0', '1:1', '2:1', '2:2', '3:2', '4:2', '4:3', '4:4', '4:5', '4:6', '5:6', '5:7', '6:7', '7:7', '8:7', '9:7', '9:8', '9:9', '10:9', '11:9', '11:10']",8,10,11,142.0,6
40,64,29,2010-02-12,Sovereign Cup,0,W,"['0:1', '1:1', '2:1', '3:1', '3:2', '4:2', '5:2', '6:2', '6:3', '7:3', '8:3', '8:4', '8:5', '8:6', '8:7', '9:7', '10:7', '11:7']",4,11,7,148.2,0
64,40,29,2010-02-12,Sovereign Cup,0,L,"['0:1', '1:1', '2:1', '3:1', '3:2', '4:2', '5:2', '6:2', '6:3', '7:3', '8:3', '8:4', '8:5', '8:6', '8:7', '9:7', '10:7', '11:7']",4,7,11,140.6,3
58,23,30,2010-02-13,Sovereign Cup,0,W,"['1:0', '2:0', '2:1', '3:1', '3:2', '4:2', '5:2', '6:2', '7:2', '8:2', '8:3', '9:3', '9:4', '9:5', '10:5', '10:6', '10:7', '10:8', '11:8', '11:9']",4,11,9,140.6,3
23,58,30,2010-02-13,Sovereign Cup,0,L,"['1:0', '2:0', '2:1', '3:1', '3:2', '4:2', '5:2', '6:2', '7:2', '8:2', '8:3', '9:3', '9:4', '9:5', '10:5', '10:6', '10:7', '10:8', '11:8', '11:9']",4,9,11,146.3,3
58,40,31,2010-02-15,Sovereign Cup,0,W,"['1:0', '2:0', '3:0', '3:1', '4:1', '4:2', '4:3', '4:4', '4:5', '4:6', '4:7', '4:8', '5:8', '6:8', '7:8', '7:9', '8:9', '9:9', '9:10', '10:10', '11:10']",2,11,10,137.8,2
40,58,31,2010-02-15,Sovereign Cup,0,L,"['1:0', '2:0', '3:0', '3:1', '4:1', '4:2', '4:3', '4:4', '4:5', '4:6', '4:7', '4:8', '5:8', '6:8', '7:8', '7:9', '8:9', '9:9', '9:10', '10:10', '11:10']",2,10,11,145.9,1
42,53,1,2010-05-02,Grand Invitational,1,W,"['1:0', '1:1', '1:2', '2:2', '2:3', '3:3', '4:3', '4:4', '5:4', '6:4', '7:4', '8:4', '8:5', '9:5', '10:5', '11:5', '11:6', '11:7', '11:8']",16,11,8,146.3,1
53,42,1,2010-05-02,Grand Invitational,1,L,"['1:0', '1:1', '1:2', '2:2', '2:3', '3:3', '4:3', '4:4', '5:4', '6:4', '7:4', '8:4', '8:5', '9:5', '10:5', '11:5', '11:6', '11:7', '11:8']",16,8,11,142.0,0
52,27,2,2010-05-02,Grand Invitational,1,W,"['1:0', '2:0', '3:0', '4:0', '4:1', '4:2', '4:3', '5:3', '5:4', '5:5', '6:5', '7:5', '7:6', '8:6', '9:6', '9:7', '10:7', '10:8', '10:9', '11:9', '11:10']",16,11,10,146.5,1
27,52,2,2010-05-02,Grand Invitational,1,L,"['1:0', '2:0', '3:0', '4:0', '4:1', '4:2', '4:3', '5:3', '5:4', '5:5', '6:5', '7:5', '7:6', '8:6', '9:6', '9:7', '10:7', '10:8', '10:9', '11:9', '11:10']",16,10,11,149.8,3
11,5,3,2010-05-02,Grand Invitational,1,W,"['0:1', '0:2', '0:3', '1:3', '1:4', '2:4', '3:4', '4:4', '5:4', '6:4', '7:4', '8:4', '8:5', '9:5', '10:5', '10:6', '10:7', '11:7', '11:8', '11:9']",16,11,9,147.6,3
5,11,3,2010-05-02,Grand Invitational,1,L,"['0:1', '0:2', '0:3', '1:3', '1:4', '2:4', '3:4', '4:4', '5:4', '6:4', '7:4', '8:4', '8:5', '9:5', '10:5', '10:6', '10:7', '11:7', '11:8', '11:9']",16,9,11,140.0,0
64,23,4,2010-05-02,Grand Invitational,1,W,"['1:0', '1:1', '2:1', '3:1', '4:1', '4:2', '5:2', '6:2', '7:2', '8:2', '9:2', '9:3', '10:3', '10:4', '10:5', '11:5', '11:6', '11:7', '11:8', '11:9']",16,11,9,142.6,0
23,64,4,2010-05-02,Grand Invitational,1,L,"['1:0', '1:1', '2:1', '3:1', '4:1', '4:2', '5:2', '6:2', '7:2', '8:2', '9:2', '9:3', '10:3', '10:4', '10:5', '11:5', '11:6', '11:7', '11:8', '11:9']",16,9,11,144.9,1
47,10,5,2010-05-02,Grand Invitational,1,W,"['1:0', '2:0', '3:0', '3:1', '3:2', '3:3', '4:3', '5:3', '5:4', '5:5', '6:5', '7:5', '7:6', '8:6', '8:7', '8:8', '8:9', '9:9', '10:9', '10:10', '11:10']",16,11,10,149.5,3
10,47,5,2010-05-02,Grand Invitational,1,L,"['1:0', '2:0', '3:0', '3:1', '3:2', '3:3', '4:3', '5:3', '5:4', '5:5', '6:5', '7:5', '7:6', '8:6', '8:7', '8:8', '8:9', '9:9', '10:9', '10:10', '11:10']",16,10,11,141.8,3
21,58,6,2010-05-02,Grand Invitational,1,W,"['1:0', '1:1', '2:1', '2:2', '3:2', '4:2', '5:2', '6:2', '7:2', '8:2', '8:3', '9:3', '10:3', '10:4', '11:4', '11:5', '11:6']",16,11,6,149.6,0
58,21,6,2010-05-02,Grand Invitational,1,L,"['1:0', '1:1', '2:1', '2:2', '3:2', '4:2', '5:2', '6:2', '7:2', '8:2', '8:3', '9:3', '10:3', '10:4', '11:4', '11:5', '11:6']",16,6,11,146.7,1
51,7,7,2010-05-02,Grand Invitational,1,W,"['1:0', '1:1', '2:1', '3:1', '4:1', '5:1', '6:1', '7:1', '7:2', '8:2', '8:3', '8:4', '8:5', '8:6', '8:7', '9:7', '10:7', '11:7', '11:8']",16,11,8,149.0,1
7,51,7,2010-05-02,Grand Invitational,1,L,"['1:0', '1:1', '2:1', '3:1', '4:1', '5:1', '6:1', '7:1', '7:2', '8:2', '8:3', '8:4', '8:5', '8:6', '8:7', '9:7', '10:7', '11:7', '11:8']",16,8,11,137.6,1
13,20,8,2010-05-03,Grand Invitational,1,W,"['1:0', '2:0', '3:0', '3:1', '3:2', '4:2', '4:3', '4:4', '4:5', '5:5', '5:6', '6:6', '7:6', '7:7', '8:7', '8:8', '9:8', '10:8', '10:9', '11:9', '11:10']",16,11,10,143.2,1
20,13,8,2010-05-03,Grand Invitational,1,L,"['1:0', '2:0', '3:0', '3:1', '3:2', '4:2', '4:3', '4:4', '4:5', '5:5', '5:6', '6:6', '7:6', '7:7', '8:7', '8:8', '9:8', '10:8', '10:9', '11:9', '11:10']",16,10,11,150.3,1
42,52,9,2010-05-04,Grand Invitational,1,W,"['1:0', '1:1', '1:2', '1:3', '2:3', '2:4', '3:4', '4:4', '4:5', '5:5', '6:5', '7:5', '7:6', '7:7', '8:7', '9:7', '9:8', '10:8', '10:9', '11:9']",8,11,9,137.3,0
52,42,9,2010-05-04,Grand Invitational,1,L,"['1:0', '1:1', '1:2', '1:3', '2:3', '2:4', '3:4', '4:4', '4:5', '5:5', '6:5', '7:5', '7:6', '7:7', '8:7', '9:7', '9:8', '10:8', '10:9', '11:9']",8,9,11,131.1,5
11,64,10,2010-05-04,Grand Invitational,1,W,"['0:1', '1:1', '1:2', '1:3', '1:4', '2:4', '2:5', '3:5', '4:5', '5:5', '5:6', '5:7', '6:7', '6:8', '7:8', '8:8', '8:9', '8:10', '9:10', '10:10', '11:10']",8,11,10,151.1,0
64,11,10,2010-05-04,Grand Invitational,1,L,"['0:1', '1:1', '1:2', '1:3', '1:4', '2:4', '2:5', '3:5', '4:5', '5:5', '5:6', '5:7', '6:7', '6:8', '7:8', '8:8', '8:9', '8:10', '9:10', '10:10', '11:10']",8,10,11,142.3,3
47,21,11,2010-05-04,Grand Invitational,1,W,"['1:0', '1:1', '2:1', '3:1', '4:1', '5:1', '5:2', '6:2', '6:3', '7:3', '7:4', '8:4', '9:4', '9:5', '9:6', '9:7', '10:7', '10:8', '11:8']",8,11,8,146.5,2
21,47,11,2010-05-04,Grand Invitational,1,L,"['1:0', '1:1', '2:1', '3:1', '4:1', '5:1', '5:2', '6:2', '6:3', '7:3', '7:4', '8:4', '9:4', '9:5', '9:6', '9:7', '10:7', '10:8', '11:8']",8,8,11,145.3,0
13,51,12,2010-05-05,Grand Invitational,1,W,"['0:1', '1:1', '1:2', '2:2', '3:2', '3:3', '4:3', '4:4', '5:4', '5:5', '6:5', '7:5', '8:5', '9:5', '10:5', '11:5', '11:6']",8,11,6,139.1,2
51,13,12,2010-05-05,Grand Invitational,1,L,"['0:1', '1:1', '1:2', '2:2', '3:2', '3:3', '4:3', '4:4', '5:4', '5:5', '6:5', '7:5', '8:5', '9:5', '10:5', '11:5', '11:6']",8,6,11,153.7,0
42,11,13,2010-05-06,Grand Invitational,1,W,"['1:0', '2:0', '2:1', '3:1', '4:1', '5:1', '6:1', '7:1', '7:2', '8:2', '8:3', '8:4', '8:5', '8:6', '9:6', '9:7', '9:8', '9:9', '10:9', '11:9']",4,11,9,150.6,0
11,42,13,2010-05-06,Grand Invitational,1,L,"['1:0', '2:0', '2:1', '3:1', '4:1', '5:1', '6:1', '7:1', '7:2', '8:2', '8:3', '8:4', '8:5', '8:6', '9:6', '9:7', '9:8', '9:9', '10:9', '11:9']",4,9,11,143.3,3
47,13,14,2010-05-07,Grand Invitational,1,W,"['0:1', '0:2', '1:2', '1:3', '2:3', '3:3', '3:4', '4:4', '5:4', '6:4', '6:5', '7:5', '8:5', '8:6', '8:7', '9:7', '10:7', '11:7', '11:8', '11:9']",4,11,9,138.9,0
13,47,14,2010-05-07,Grand Invitational,1,L,"['0:1', '0:2', '1:2', '1:3', '2:3', '3:3', '3:4', '4:4', '5:4', '6:4', '6:5', '7:5', '8:5', '8:6', '8:7', '9:7', '10:7', '11:7', '11:8', '11:9']",4,9,11,156.5,3
42,47,15,2010-05-09,Grand Invitational,1,W,"['0:1', '1:1', '1:2', '1:3', '2:3', '3:3', '4:3', '5:3', '6:3', '7:3', '7:4', '8:4', '8:5', '9:5', '10:5', '10:6', '11:6', '11:7', '11:8']",2,11,8,150.6,9
47,42,15,2010-05-09,Grand Invitational,1,L,"['0:1', '1:1', '1:2', '1:3', '2:3', '3:3', '4:3', '5:3', '6:3', '7:3', '7:4', '8:4', '8:5', '9:5', '10:5', '10:6', '11:6', '11:7', '11:8']",2,8,11,147.5,2
45,53,1,2010-07-02,World Championship,2,W,"['0:1', '0:2', '1:2', '2:2', '3:2', '4:2', '5:2', '5:3', '6:3', '7:3', '7:4', '8:4', '9:4', '9:5', '9:6', '10:6', '10:7', '11:7']",64,11,7,155.5,3
53,45,1,2010-07-02,World Championship,2,L,"['0:1', '0:2', '1:2', '2:2', '3:2', '4:2', '5:2', '5:3', '6:3', '7:3', '7:4', '8:4', '9:4', '9:5', '9:6', '10:6', '10:7', '11:7']",64,7,11,141.8,2
57,27,2,2010-07-02,World Championship,2,W,"['0:1', '1:1', '2:1', '3:1', '4:1', '4:2', '4:3', '4:4', '5:4', '6:4', '7:4', '8:4', '9:4', '10:4', '11:4']",64,11,4,149.9,8
27,57,2,2010-07-02,World Championship,2,L,"['0:1', '1:1', '2:1', '3:1', '4:1', '4:2', '4:3', '4:4', '5:4', '6:4', '7:4', '8:4', '9:4', '10:4', '11:4']",64,4,11,140.5,1
64,32,3,2010-07-02,World Championship,2,W,"['1:0', '1:1', '2:1', '3:1', '3:2', '4:2', '5:2', '6:2', '7:2', '8:2', '9:2', '10:2', '10:3', '11:3']",64,11,3,144.4,2
32,64,3,2010-07-02,World Championship,2,L,"['1:0', '1:1', '2:1', '3:1', '3:2', '4:2', '5:2', '6:2', '7:2', '8:2', '9:2', '10:2', '10:3', '11:3']",64,3,11,150.5,0
42,38,4,2010-07-02,World Championship,2,W,"['1:0', '1:1', '2:1', '3:1', '3:2', '4:2', '5:2', '6:2', '6:3', '6:4', '6:5', '7:5', '8:5', '9:5', '9:6', '10:6', '11:6']",64,11,6,148.5,0
38,42,4,2010-07-02,World Championship,2,L,"['1:0', '1:1', '2:1', '3:1', '3:2', '4:2', '5:2', '6:2', '6:3', '6:4', '6:5', '7:5', '8:5', '9:5', '9:6', '10:6', '11:6']",64,6,11,136.0,2
5,62,5,2010-07-02,World Championship,2,W,"['0:1', '1:1', '1:2', '2:2', '2:3', '3:3', '3:4', '4:4', '5:4', '6:4', '7:4', '8:4', '8:5', '9:5', '10:5', '11:5']",64,11,5,155.3,0
62,5,5,2010-07-02,World Championship,2,L,"['0:1', '1:1', '1:2', '2:2', '2:3', '3:3', '3:4', '4:4', '5:4', '6:4', '7:4', '8:4', '8:5', '9:5', '10:5', '11:5']",64,5,11,137.3,0
9,47,6,2010-07-02,World Championship,2,W,"['1:0', '2:0', '3:0', '4:0', '4:1', '4:2', '5:2', '6:2', '7:2', '8:2', '9:2', '10:2', '10:3', '11:3', '11:4']",64,11,4,148.5,1
